Aotus nancymaae
Castor canadensis
Cebus capucinus
Ceratotherium simum
Cercocebus atys
Chinchilla lanigera
Chlorocebus sabaeus
Colobus angolensis
Cricetulus griseus
Equus asinus
Equus caballus
Equus przewalskii
Galeopterus variegatus
Heterocephalus glaber
Homo sapiens
Ictidomys tridecemlineatus
Macaca fascicularis
Macaca mulatta
Macaca nemestrina
Mandrillus leucophaeus
Marmota marmota
Mesocricetus auratus
Microcebus murinus
Microtus ochrogaster
Mus caroli
Mus musculus
Mus pahari
Nannospalax galili
Otolemur garnettii
Pan paniscus
Pan troglodytes
Papio anubis
Peromyscus maniculatus
Pongo abelii
Rattus norvegicus
Rhinopithecus roxellana
